id_fuente,suma_EFA,suma_GEE,Descuento_FNCE,Descuento_GEE,FNCE,GEE,GEE_final
866836.0,0,0,0.0,0.0,0.0,0.0,0.0
866838.0,0,0,0.0,0.0,0.0,0.0,0.0
866839.0,0,0,0.0,0.0,0.0,0.0,0.0
866841.0,0,0,0.0,0.0,0.0,0.0,0.0
866857.0,0,0,0.0,0.0,0.0,0.0,0.0
866860.0,0,0,0.0,0.0,0.0,0.0,0.0
866863.0,0,828,0.0,414.0,0.0,414.0,414.0
866864.0,0,8800,0.0,4400.0,0.0,4400.0,4400.0
866878.0,0,0,0.0,0.0,0.0,0.0,0.0
866879.0,0,0,0.0,0.0,0.0,0.0,0.0
866887.0,0,0,0.0,0.0,0.0,0.0,0.0
866889.0,0,0,0.0,0.0,0.0,0.0,0.0
866891.0,0,0,0.0,0.0,0.0,0.0,0.0
866894.0,0,0,0.0,0.0,0.0,0.0,0.0
866897.0,0,12657,0.0,6328.5,0.0,6328.5,6328.5
866900.0,0,0,0.0,0.0,0.0,0.0,0.0
866911.0,0,0,0.0,0.0,0.0,0.0,0.0
866924.0,0,0,0.0,0.0,0.0,0.0,0.0
866929.0,0,0,0.0,0.0,0.0,0.0,0.0
866937.0,0,0,0.0,0.0,0.0,0.0,0.0
866940.0,0,0,0.0,0.0,0.0,0.0,0.0
866943.0,0,0,0.0,0.0,0.0,0.0,0.0
866953.0,0,0,0.0,0.0,0.0,0.0,0.0
866954.0,0,0,0.0,0.0,0.0,0.0,0.0
866963.0,0,0,0.0,0.0,0.0,0.0,0.0
866967.0,0,0,0.0,0.0,0.0,0.0,0.0
866968.0,0,0,0.0,0.0,0.0,0.0,0.0
866969.0,0,0,0.0,0.0,0.0,0.0,0.0
866981.0,0,0,0.0,0.0,0.0,0.0,0.0
866983.0,0,0,0.0,0.0,0.0,0.0,0.0
866985.0,0,0,0.0,0.0,0.0,0.0,0.0
866986.0,0,0,0.0,0.0,0.0,0.0,0.0
866989.0,0,21000,0.0,10500.0,0.0,10500.0,10500.0
866997.0,0,0,0.0,0.0,0.0,0.0,0.0
867002.0,0,0,0.0,0.0,0.0,0.0,0.0
867003.0,0,0,0.0,0.0,0.0,0.0,0.0
867005.0,0,0,0.0,0.0,0.0,0.0,0.0
867009.0,0,0,0.0,0.0,0.0,0.0,0.0
867017.0,0,0,0.0,0.0,0.0,0.0,0.0
867022.0,0,0,0.0,0.0,0.0,0.0,0.0
867027.0,0,0,0.0,0.0,0.0,0.0,0.0
867040.0,0,0,0.0,0.0,0.0,0.0,0.0
867128.0,0,2095,0.0,1047.5,0.0,1047.5,1047.5
867136.0,0,0,0.0,0.0,0.0,0.0,0.0
867138.0,0,0,0.0,0.0,0.0,0.0,0.0
867159.0,0,0,0.0,0.0,0.0,0.0,0.0
867161.0,0,0,0.0,0.0,0.0,0.0,0.0
867167.0,0,0,0.0,0.0,0.0,0.0,0.0
867171.0,0,0,0.0,0.0,0.0,0.0,0.0
867175.0,0,0,0.0,0.0,0.0,0.0,0.0
867176.0,0,0,0.0,0.0,0.0,0.0,0.0
867177.0,0,0,0.0,0.0,0.0,0.0,0.0
867181.0,0,0,0.0,0.0,0.0,0.0,0.0
867189.0,0,0,0.0,0.0,0.0,0.0,0.0
867192.0,0,0,0.0,0.0,0.0,0.0,0.0
867195.0,0,0,0.0,0.0,0.0,0.0,0.0
867198.0,0,0,0.0,0.0,0.0,0.0,0.0
867204.0,0,38000,0.0,19000.0,0.0,19000.0,19000.0
867218.0,0,0,0.0,0.0,0.0,0.0,0.0
867220.0,0,0,0.0,0.0,0.0,0.0,0.0
867229.0,0,0,0.0,0.0,0.0,0.0,0.0
867232.0,0,0,0.0,0.0,0.0,0.0,0.0
867236.0,0,0,0.0,0.0,0.0,0.0,0.0
867246.0,0,22600,0.0,11300.0,0.0,11300.0,5650.0
867247.0,0,0,0.0,0.0,0.0,0.0,0.0
867254.0,0,0,0.0,0.0,0.0,0.0,0.0
867256.0,0,0,0.0,0.0,0.0,0.0,0.0
867257.0,0,0,0.0,0.0,0.0,0.0,0.0
867263.0,0,0,0.0,0.0,0.0,0.0,0.0
867279.0,0,0,0.0,0.0,0.0,0.0,0.0
867280.0,0,12000,0.0,6000.0,0.0,6000.0,3000.0
867282.0,0,0,0.0,0.0,0.0,0.0,0.0
867283.0,0,0,0.0,0.0,0.0,0.0,0.0
867286.0,0,0,0.0,0.0,0.0,0.0,0.0
867288.0,0,0,0.0,0.0,0.0,0.0,0.0
867289.0,0,0,0.0,0.0,0.0,0.0,0.0
867292.0,0,200,0.0,100.0,0.0,100.0,100.0
867301.0,0,0,0.0,0.0,0.0,0.0,0.0
867308.0,0,914,0.0,457.0,0.0,457.0,457.0
867323.0,0,16191,0.0,8095.5,0.0,8095.5,6700.75
867324.0,0,19143,0.0,9571.5,0.0,9571.5,9571.5
867332.0,0,0,0.0,0.0,0.0,0.0,0.0
867342.0,0,0,0.0,0.0,0.0,0.0,0.0
867357.0,0,0,0.0,0.0,0.0,0.0,0.0
867358.0,0,0,0.0,0.0,0.0,0.0,0.0
867363.0,0,0,0.0,0.0,0.0,0.0,0.0
867364.0,0,0,0.0,0.0,0.0,0.0,0.0
867380.0,0,7000,0.0,3500.0,0.0,3500.0,2250.0
867382.0,0,0,0.0,0.0,0.0,0.0,0.0
867401.0,0,0,0.0,0.0,0.0,0.0,0.0
867406.0,0,0,0.0,0.0,0.0,0.0,0.0
867407.0,0,0,0.0,0.0,0.0,0.0,0.0
867408.0,0,0,0.0,0.0,0.0,0.0,0.0
867414.0,0,0,0.0,0.0,0.0,0.0,0.0
867419.0,0,0,0.0,0.0,0.0,0.0,0.0
867431.0,0,31309,0.0,15654.5,0.0,15654.5,15654.5
867432.0,0,0,0.0,0.0,0.0,0.0,0.0
867438.0,0,427,0.0,213.5,0.0,213.5,213.5
867443.0,0,0,0.0,0.0,0.0,0.0,0.0
867445.0,0,0,0.0,0.0,0.0,0.0,0.0
867464.0,0,15280,0.0,7640.0,0.0,7640.0,3820.0
867506.0,0,0,0.0,0.0,0.0,0.0,0.0
867522.0,0,0,0.0,0.0,0.0,0.0,0.0
867524.0,0,0,0.0,0.0,0.0,0.0,0.0
867529.0,0,0,0.0,0.0,0.0,0.0,0.0
867530.0,0,3133,0.0,1566.5,0.0,1566.5,1566.5
867531.0,0,0,0.0,0.0,0.0,0.0,0.0
867555.0,0,12800,0.0,6400.0,0.0,6400.0,6125.0
867556.0,0,0,0.0,0.0,0.0,0.0,0.0
867560.0,0,0,0.0,0.0,0.0,0.0,0.0
867574.0,55609,0,27804.5,0.0,27804.5,0.0,0.0
867576.0,0,368448,0.0,184224.0,0.0,184224.0,184224.0
867586.0,151941,1411,75970.5,705.5,75970.5,705.5,705.5
867587.0,0,0,0.0,0.0,0.0,0.0,0.0
867592.0,0,280,0.0,140.0,0.0,140.0,140.0
867614.0,0,0,0.0,0.0,0.0,0.0,0.0
867615.0,0,0,0.0,0.0,0.0,0.0,0.0
867617.0,0,0,0.0,0.0,0.0,0.0,0.0
867619.0,0,33247,0.0,16623.5,0.0,16623.5,16623.5
867625.0,0,0,0.0,0.0,0.0,0.0,0.0
867629.0,0,0,0.0,0.0,0.0,0.0,0.0
867645.0,0,0,0.0,0.0,0.0,0.0,0.0
867646.0,0,66401,0.0,33200.5,0.0,33200.5,33200.5
867652.0,0,0,0.0,0.0,0.0,0.0,0.0
973234.0,0,0,0.0,0.0,0.0,0.0,0.0
973235.0,0,0,0.0,0.0,0.0,0.0,0.0
973244.0,0,0,0.0,0.0,0.0,0.0,0.0
973257.0,0,0,0.0,0.0,0.0,0.0,0.0
973260.0,0,0,0.0,0.0,0.0,0.0,0.0
973266.0,0,0,0.0,0.0,0.0,0.0,0.0
973271.0,0,0,0.0,0.0,0.0,0.0,0.0
973277.0,0,0,0.0,0.0,0.0,0.0,0.0
973278.0,0,0,0.0,0.0,0.0,0.0,0.0
973282.0,0,0,0.0,0.0,0.0,0.0,0.0
973292.0,0,0,0.0,0.0,0.0,0.0,0.0
973302.0,0,0,0.0,0.0,0.0,0.0,0.0
973303.0,0,0,0.0,0.0,0.0,0.0,0.0
973304.0,0,0,0.0,0.0,0.0,0.0,0.0
973307.0,0,0,0.0,0.0,0.0,0.0,0.0
973319.0,0,0,0.0,0.0,0.0,0.0,0.0
973321.0,0,0,0.0,0.0,0.0,0.0,0.0
973326.0,0,0,0.0,0.0,0.0,0.0,0.0
973328.0,0,0,0.0,0.0,0.0,0.0,0.0
973329.0,0,0,0.0,0.0,0.0,0.0,0.0
973336.0,0,56667,0.0,28333.5,0.0,28333.5,14166.75
973338.0,0,0,0.0,0.0,0.0,0.0,0.0
973340.0,0,0,0.0,0.0,0.0,0.0,0.0
973343.0,0,0,0.0,0.0,0.0,0.0,0.0
973344.0,0,0,0.0,0.0,0.0,0.0,0.0
973347.0,0,0,0.0,0.0,0.0,0.0,0.0
973369.0,0,6410,0.0,3205.0,0.0,3205.0,3205.0
973386.0,0,0,0.0,0.0,0.0,0.0,0.0
973424.0,0,0,0.0,0.0,0.0,0.0,0.0
973425.0,0,5100,0.0,2550.0,0.0,2550.0,1650.0
973442.0,0,0,0.0,0.0,0.0,0.0,0.0
973458.0,0,165790,0.0,82895.0,0.0,82895.0,82895.0
973467.0,0,0,0.0,0.0,0.0,0.0,0.0
973469.0,0,0,0.0,0.0,0.0,0.0,0.0
973484.0,0,0,0.0,0.0,0.0,0.0,0.0
973494.0,0,0,0.0,0.0,0.0,0.0,0.0
973495.0,0,6410,0.0,3205.0,0.0,3205.0,3205.0
973497.0,0,0,0.0,0.0,0.0,0.0,0.0
973500.0,0,0,0.0,0.0,0.0,0.0,0.0
973506.0,0,0,0.0,0.0,0.0,0.0,0.0
973527.0,0,0,0.0,0.0,0.0,0.0,0.0
973530.0,0,2023,0.0,1011.5,0.0,1011.5,1011.5
973538.0,0,0,0.0,0.0,0.0,0.0,0.0
973545.0,0,0,0.0,0.0,0.0,0.0,0.0
973556.0,0,0,0.0,0.0,0.0,0.0,0.0
973566.0,0,0,0.0,0.0,0.0,0.0,0.0
973577.0,0,0,0.0,0.0,0.0,0.0,0.0
973583.0,0,0,0.0,0.0,0.0,0.0,0.0
973595.0,0,3150,0.0,1575.0,0.0,1575.0,1575.0
973596.0,0,0,0.0,0.0,0.0,0.0,0.0
973606.0,0,0,0.0,0.0,0.0,0.0,0.0
973607.0,0,0,0.0,0.0,0.0,0.0,0.0
973630.0,0,0,0.0,0.0,0.0,0.0,0.0
973641.0,0,6410,0.0,3205.0,0.0,3205.0,3205.0
973644.0,0,0,0.0,0.0,0.0,0.0,0.0
973652.0,0,338875,0.0,169437.5,0.0,169437.5,121875.25
973969.0,0,0,0.0,0.0,0.0,0.0,0.0
974000.0,0,0,0.0,0.0,0.0,0.0,0.0
974019.0,0,0,0.0,0.0,0.0,0.0,0.0
974026.0,0,0,0.0,0.0,0.0,0.0,0.0
974045.0,0,0,0.0,0.0,0.0,0.0,0.0
974062.0,0,14980,0.0,7490.0,0.0,7490.0,7490.0
974085.0,0,0,0.0,0.0,0.0,0.0,0.0
974144.0,0,0,0.0,0.0,0.0,0.0,0.0
974195.0,0,0,0.0,0.0,0.0,0.0,0.0
974363.0,0,0,0.0,0.0,0.0,0.0,0.0
974499.0,0,73805,0.0,36902.5,0.0,36902.5,36902.5
974562.0,0,0,0.0,0.0,0.0,0.0,0.0
974656.0,0,0,0.0,0.0,0.0,0.0,0.0
974750.0,0,0,0.0,0.0,0.0,0.0,0.0
974957.0,0,0,0.0,0.0,0.0,0.0,0.0
975044.0,0,0,0.0,0.0,0.0,0.0,0.0
975047.0,0,0,0.0,0.0,0.0,0.0,0.0
975057.0,0,4886,0.0,2443.0,0.0,2443.0,2443.0
975059.0,0,0,0.0,0.0,0.0,0.0,0.0
975062.0,0,0,0.0,0.0,0.0,0.0,0.0
975064.0,0,0,0.0,0.0,0.0,0.0,0.0
975072.0,0,13401,0.0,6700.5,0.0,6700.5,6700.5
975080.0,0,7628,0.0,3814.0,0.0,3814.0,3814.0
975093.0,0,35000,0.0,17500.0,0.0,17500.0,17500.0
