id_fuente,region,FNCE,Descuento_FNCE,GEE_final,Descuento_GEE,Sugerencia
142062.0,3,0.0,0.0,45006.25,45006.25,Considerar invertir en EFA
142063.0,2,0.0,0.0,831.25,831.25,Considerar invertir en EFA
142065.0,3,0.0,0.0,10030.5625,10821.8125,Considerar invertir en EFA
142066.0,3,0.0,0.0,765062.5625,839702.8125,Considerar invertir en EFA
142067.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142068.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142071.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142072.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142073.0,2,0.0,0.0,5937.5,5937.5,Considerar invertir en EFA
142074.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142075.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142076.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142077.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142078.0,2,8000.0,8000.0,35625.0,35625.0,Considerar invertir en EFA
142080.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142083.0,6,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142086.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142088.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142090.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142091.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142094.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142096.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142097.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142100.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142111.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142114.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142116.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142118.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142119.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142120.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142121.0,2,0.0,0.0,4750.0,4750.0,Considerar invertir en EFA
142122.0,3,0.0,0.0,35323.375,35323.375,Considerar invertir en EFA
142123.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142124.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142125.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142126.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142127.0,2,0.0,0.0,64062.5,70312.5,Considerar invertir en EFA
142128.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142129.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142134.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142135.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142138.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142145.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142150.0,1,0.0,0.0,85500.0,85500.0,Considerar invertir en EFA
142152.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142153.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142157.0,2,0.0,0.0,38437.5,42187.5,Considerar invertir en EFA
142158.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142159.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142160.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142162.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142165.0,1,0.0,0.0,60008.9375,61731.6875,Considerar invertir en EFA
142166.0,2,0.0,0.0,20187.5,20187.5,Considerar invertir en EFA
142171.0,3,0.0,0.0,4275.0,4275.0,Considerar invertir en EFA
142175.0,2,0.0,0.0,23726.25,23726.25,Considerar invertir en EFA
142179.0,1,0.0,0.0,606876.625,606876.625,Considerar invertir en EFA
142183.0,3,0.0,0.0,837.5,837.5,Considerar invertir en EFA
142185.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
