id_fuente,cod_div_ind,region,año,inv tierras y terrenos EFA,inv maquinaria y equipo EFA,inv construcciones y edificaciones EFA,inversión total EFA,materiales y suministros EFA,pequeñas herramientas EFA,mantenimiento de equipos EFA,"medición, control y análisis EFA",total costos y gastos EFA,total inversión y gastos EFA,inv maquinaria y equipo (GEE),inv construcciones y edificaciones (GEE),inversión total (GEE),materiales y suministros (GEE),pequeñas herramientas (GEE),mantenimiento de equipos (GEE),"medición, control y análisis (GEE)",total costos y gastos (GEE),total inversión y gastos (GEE)
141695.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141701.0,1,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141703.0,7,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141708.0,7,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141710.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,1500,1200,4700,4700
141711.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,15000,15000
141712.0,9,3,2019,0,0,0,0,0,0,0,0,0,0,10000,10195,20195,0,0,0,0,0,20195
141713.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,10000,0,10000,2000,0,0,0,2000,12000
141714.0,8,4,2019,0,96846,0,96846,0,0,0,0,0,96846,4500,0,4500,705,375,900,575,2555,7055
141717.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,533,0,11533,11533
141718.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141720.0,6,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,5844,0,0,0,5844,5844
141721.0,3,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1868,0,0,0,1868,1868
141724.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141726.0,1,1,2019,0,0,0,0,0,0,88145,0,88145,88145,0,0,0,0,0,0,0,0,0
141728.0,3,3,2019,0,0,0,0,0,0,0,0,0,0,3619,0,3619,0,0,0,0,0,3619
141734.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141737.0,7,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141739.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141742.0,5,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141743.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141749.0,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141752.0,6,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141755.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141756.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,250,0,404,404
141763.0,1,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,2514,0,0,0,2514,2514
141765.0,5,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141774.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141778.0,6,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141781.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141784.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141799.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141804.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141810.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141811.0,9,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141812.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141814.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141820.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141824.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141827.0,8,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141831.0,9,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141833.0,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141834.0,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141838.0,2,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141840.0,5,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141857.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032,0,0,5032,5032
141858.0,1,3,2019,0,0,156894,156894,0,0,0,0,0,156894,0,0,0,0,0,0,0,0,0
141864.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141871.0,1,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141884.0,9,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141904.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141927.0,4,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141928.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141943.0,2,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141970.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141978.0,6,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141979.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141993.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142013.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142015.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142031.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142033.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142034.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,1000
142037.0,2,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142053.0,4,4,2019,0,276995,84604,361599,0,0,0,0,0,361599,170467,0,170467,798206,0,0,0,798206,968673
142054.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,20541,0,0,0,20541,20541
142055.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142057.0,5,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43847,0,43847,43847
142058.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142059.0,3,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142060.0,9,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142061.0,1,3,2019,0,0,0,0,0,0,23676,0,23676,23676,0,0,0,0,0,0,0,0,0
142062.0,7,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18950,0,18950,18950
142063.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,350,350
142065.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,3165,0,3165,1808,0,0,0,1808,4973
142066.0,9,3,2019,0,0,0,0,0,0,0,0,0,0,298561,0,298561,0,0,0,0,0,298561
142067.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142068.0,1,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142071.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142072.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142073.0,9,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,2500,2500
142074.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142075.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142076.0,5,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142077.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142078.0,1,2,2019,0,6000,0,6000,0,0,10000,0,10000,16000,0,0,0,0,0,15000,0,15000,15000
142080.0,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142083.0,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142086.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142088.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142090.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142091.0,1,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142094.0,5,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142096.0,4,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142097.0,7,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142100.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142111.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142114.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142116.0,3,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142118.0,7,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142119.0,3,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142120.0,8,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142121.0,4,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,2000,2000
142122.0,1,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,6456,0,8269,148,14873,14873
142123.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142124.0,6,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142125.0,6,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142126.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142127.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,25000,0,25000,0,0,0,0,0,25000
142128.0,6,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142129.0,8,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142134.0,9,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142135.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142138.0,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142145.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142150.0,9,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,36000,36000
142152.0,5,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142153.0,6,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142157.0,1,2,2019,0,0,0,0,0,0,0,0,0,0,15000,0,15000,0,0,0,0,0,15000
142158.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142159.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142160.0,4,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142162.0,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142165.0,1,1,2019,0,0,0,0,0,0,0,0,0,0,6891,0,6891,0,0,15570,4438,20008,26899
142166.0,4,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,2000,0,0,8500,8500
142171.0,2,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,1800,1800
142175.0,2,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,9410,0,580,0,9990,9990
142179.0,2,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255527,255527,255527
142183.0,2,3,2019,0,0,0,0,0,0,0,0,0,0,0,268,268,0,0,0,0,0,268
142185.0,2,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
